N,link,price,cls,active
190,https://kaspi.kz/shop/p/stabilizator-naprjazhenija-resanta-asn-5000-1-ts-5400773,67090,0,1
191,https://kaspi.kz/shop/p/elektrostantsija-benzinovaja-huter-ht950a-17900047,76390,0,1
192,https://kaspi.kz/shop/p/vihr-pt-255l-19100389,89890,0,1
193,https://kaspi.kz/shop/p/resanta-benzinovaja-bp-4518-70-6-13--101531999,58790,0,1
194,https://kaspi.kz/shop/p/vihr-vshm-115e-53100014,21490,0,1
195,https://kaspi.kz/shop/p/vihr-dlja-zatochki-tsepei-szts-90a-72-10-4-101577081,24090,0,1
196,https://kaspi.kz/shop/p/resanta-tgp-75000-100747667,120790,0,1
197,https://kaspi.kz/shop/p/resanta-tdpn-30000-6201031,384490,0,1
198,https://kaspi.kz/shop/p/resanta-t-200-450-101526755,41890,0,1
199,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-220-keis-mma--30000077,66690,0,1
200,https://kaspi.kz/shop/p/nasosnaja-stantsija-vihr-asv-1200-24n-27700444,86490,0,1
201,https://kaspi.kz/shop/p/resanta-tep-9000-krasnyi-6200960,105890,0,1
202,https://kaspi.kz/shop/p/huter-benzinovaja-bs-52-19200005,54290,0,1
203,https://kaspi.kz/shop/p/nasosnaja-stantsija-vihr-asv-800-50-100094631,104190,0,1
204,https://kaspi.kz/shop/p/vihr-p-1600k-m-p-1200k-m-72-3-3-11-dzh-sds-max-12400365,81790,0,1
205,https://kaspi.kz/shop/p/huter-mk-11000p-30400008,393790,0,1
206,https://kaspi.kz/shop/p/nasosnaja-stantsija-vihr-asv-1200-50-27700695,108990,0,1
207,https://kaspi.kz/shop/p/moika-elektricheskaja-huter-w195-arv-195-bar-15800132,107190,0,1
208,https://kaspi.kz/shop/p/vihr-p-1000k-72-3-7-5-dzh-sds-plus-12400163,38290,0,1
209,https://kaspi.kz/shop/p/nasosnaja-stantsija-vihr-asv-1200-50n-27700445,121790,0,1
210,https://kaspi.kz/shop/p/vihr-sa-1h9-391-sm-50500150,58884,0,1
211,https://kaspi.kz/shop/p/resanta-svarochnyi-invertor-sai-220t-lux-mma--100141731,76590,0,1
212,https://kaspi.kz/shop/p/resanta-ms-5m-101606187,30790,0,1
213,https://kaspi.kz/shop/p/huter-gmc-4-0-101222103,173190,0,1
214,https://kaspi.kz/shop/p/xiaomi-huohou-electric-wine-opener-hu0027-elektricheskii-22-sm-103868293,8451.72,0,1
215,https://kaspi.kz/shop/p/stabilizator-naprjazhenija-resanta-s1000-5400757,31190,0,1
216,https://kaspi.kz/shop/p/poliroval-naja-mashina-vihr-ushm-180-1300p-72-12-13-104906098,33290,0,1
217,https://kaspi.kz/shop/p/huter-transportirovochnyi-komplekt-1-sht-komplekt-koljos-i-ruchek-huter-64-1-34--105023834,23790,0,1
218,https://kaspi.kz/shop/p/nasos-poverhnostnyi-vihr-pn-1100-27701140,43490,0,1
219,https://kaspi.kz/shop/p/vihr-le-100-30100092,22928,0,1
220,https://kaspi.kz/shop/p/pila-tortsovochnaja-vihr-pt-210k-72-18-6-105903201,82690,0,1
221,https://kaspi.kz/shop/p/drenazhnyi-nasos-vihr-dn-1100-27700200,35090,0,1
222,https://kaspi.kz/shop/p/kompressor-masljanyi-vihr-kmp-300-50-50600003,105390,0,1
223,https://kaspi.kz/shop/p/vihr-drel--shurupovert-da-18l-2k-b-100265370,43490,0,1
224,https://kaspi.kz/shop/p/kompressor-masljanyi-vihr-kmp-400-100p-50600004,272090,0,1
225,https://kaspi.kz/shop/p/resanta-ps-1500-30-104422311,70590,0,1
226,https://kaspi.kz/shop/p/resanta-ms-5-100011308,22390,0,1
227,https://kaspi.kz/shop/p/huter-benzinovaja-bs-40-19200079,54290,0,1
228,https://kaspi.kz/shop/p/kompressor-masljanyi-vihr-kmp-400-50r-74-3-10-100264281,207190,0,1
229,https://kaspi.kz/shop/p/vihr-p-1400k-v-5-dzh-sds-plus-12400324,45490,0,1
230,https://kaspi.kz/shop/p/elektrostantsija-gazo-benzinovaja-huter-dy6500lxg-17900124,422290,0,1
